event_id,year,month,meetup_number,title,date,venue,speakers,attendance,themes,transcript_paths,recap_paths
2024-02-february-meetup-14,2024,02-february,14,Vancouver AI Community Meetup #14 - Recap,2024-02-01,"MacMillan Space Centre, Vancouver",Dean Shev|Dimitri Schwartzman|Jackson Wu Shyang|Kate Armstrong|Kevin Friel|Kris Krüg|Loki Jorgenson|Matthew Schwartzman|Michael Tippett|jonny williams,200,,transcripts/2024/02-february/vancouver-ai-meetup-14-transcript.md,recaps/2024/02-february/vancouver-ai-meetup-14-recap.md
2024-03-march-meetup-15,2024,03-march,15,Vancouver AI Community Meetup #15 - Recap,2023-12-07,"MacMillan Space Centre, Vancouver",Alex Tapscott|Julia Morton|Kris Krüg|Loki Jorgenson|Matthew Schwartzman|Michael Tippett|Philippe Pasquier,200,,transcripts/2024/03-march/vancouver-ai-meetup-15-transcript.md,recaps/2024/03-march/vancouver-ai-meetup-15-recap.md
2024-04-april-meetup-16,2024,04-april,16,Vancouver AI Community Meetup #16 - Recap,2024-04-01,"MacMillan Space Centre, Vancouver",Dean Shev|Dimitri Schwartzman|Kevin Friel|Kris Krüg|Matthew Schwartzman|Steven Jones|jonny williams|♾️ sev geraskin,200,,transcripts/2024/04-april/vancouver-ai-meetup-16-transcript.md,recaps/2024/04-april/vancouver-ai-meetup-16-recap.md
2024-06-june-meetup-18,2024,06-june,18,Vancouver AI Community Meetup #18 - Recap,2024-06-01,"MacMillan Space Centre, Vancouver",Aliza Schwartzman|Carol Ann Hilton|Dimitri Schwartzman|Kemp Edmonds|Kris Krüg|Lorraine Lowe|Matt Sinclair|Matthew Schwartzman|Morten Rand-Hendriksen|Noah Brunn|♾️ sev geraskin,225,,transcripts/2024/06-june/vancouver-ai-meetup-18-transcript.md,recaps/2024/06-june/vancouver-ai-meetup-18-recap.md
2024-08-august-metacreation-lab-ai-music-residency-showcase-recap,2024,08-august,,METACREATION Lab AI Music Residency Showcase - Recap,2024-08-01,,Philippe Pasquier,,,,recaps/2024/08-august/metacreation-lab-ai-music-residency-showcase-recap.md
2024-08-august-metacreation-lab-ai-music-residency-showcase-transcript,2024,08-august,,METACREATION Lab AI Music Residency Showcase,2024-08-01,SFU Surrey,Philippe Pasquier,,,transcripts/2024/08-august/metacreation-lab-ai-music-residency-showcase-transcript.md,
2024-08-august-vancouver-ai-meetup-hackathon-winners-transcript,2024,08-august,,Vancouver AI Meetup - August 2024 - Hackathon Winners Presentation,2024-08-01,"HR MacMillan Space Centre, Vancouver",Brett Henderson|Carol Anne Hilton|Dean Shev|Kevin Friel|Prajwal Prashanth|♾️ sev geraskin,572,,transcripts/2024/08-august/vancouver-ai-meetup-hackathon-winners-transcript.md,
2024-09-september-meetup-21,2024,09-september,21,Vancouver AI Community Meetup #21 - September 2024 Recap,2024-09-01,"Vancouver, BC",Kris Krüg|Taylor Shift,,,transcripts/2024/09-september/vancouver-ai-meetup-21-transcript.md,recaps/2024/09-september/vancouver-ai-meetup-21-recap.md
2024-10-october-vancouver-ai-thinking-game-screening-recap,2024,10-october,,"Vancouver AI Community Special Event - ""The Thinking Game"" Film Screening Recap",2024-10-01,"MacMillan Space Centre, Vancouver, BC",Kris Krüg|Michael Fergusson,,,,recaps/2024/10-october/vancouver-ai-thinking-game-screening-recap.md
2024-10-october-vancouver-ai-thinking-game-screening-transcript,2024,10-october,,"Vancouver AI Community Special Event - ""The Thinking Game"" Film Screening & Panel",2024-10-01,"MacMillan Space Centre, Vancouver, BC",Kris Krüg|Michael Fergusson,,,transcripts/2024/10-october/vancouver-ai-thinking-game-screening-transcript.md,
2024-12-december-meetup-24,2024,12-december,24,Vancouver AI Community Meetup #24 - December 2024 Recap,2024-12-01,"Space Center, Vancouver, BC",Carol Anne Hilton|Kevin Friel|Kris Krüg|Lorraine Lowe|Matthew Schwartzman|Philippe Pasquier,,,transcripts/2024/12-december/vancouver-ai-meetup-24-transcript.md,recaps/2024/12-december/vancouver-ai-meetup-24-recap.md
2024-12-december-peter-lucas-jones-indigenous-ai-keynote-recap,2024,12-december,,Indigenous AI & Data Sovereignty - Peter Lucas Jones Keynote Recap,2024-12-01,,,,,,recaps/2024/12-december/peter-lucas-jones-indigenous-ai-keynote-recap.md
2024-12-december-peter-lucas-jones-indigenous-ai-keynote-transcript,2024,12-december,,Peter Lucas Jones - Indigenous AI & Language Sovereignty Keynote,2024-12-01,,,,,transcripts/2024/12-december/peter-lucas-jones-indigenous-ai-keynote-transcript.md,
2025-01-january-meetup-13,2025,01-january,13,Vancouver AI Community Meetup #13 - Recap,2024-03-11,"MacMillan Space Centre, Vancouver",Brittney Smaila|Dimitri Schwartzman|Jeff Clark|Kevin Friel|Kris Krüg|Loki Jorgenson|Lorraine Lowe|Matthew Schwartzman|Michael Unger|Mirjana Prpa|Nicole Donnelly|Philippe Pasquier|Ron Segev,200,,transcripts/2025/01-january/vancouver-ai-meetup-13-transcript.md,recaps/2025/01-january/vancouver-ai-meetup-13-recap.md
