doc_type,year,month,meetup_number,title,slug,source_path,archive_path,sha256
recap,2024,02-february,14,Vancouver AI Community Meetup #14 - Recap,vancouver-ai-meetup-14-recap,2024/02-february/vancouver-ai-meetup-14-recap.md,recaps/2024/02-february/vancouver-ai-meetup-14-recap.md,25597f9259dfff051303cfe8e8e7961ea488f7820e71705a09bc11fae9a6703c
recap,2024,03-march,15,Vancouver AI Community Meetup #15 - Recap,vancouver-ai-meetup-15-recap,2024/03-march/vancouver-ai-meetup-15-recap.md,recaps/2024/03-march/vancouver-ai-meetup-15-recap.md,659c241e86e33b49727960c2dea8085f3a5b4900d1d8a0ee4576c9d352723116
recap,2024,04-april,16,Vancouver AI Community Meetup #16 - Recap,vancouver-ai-meetup-16-recap,2024/04-april/vancouver-ai-meetup-16-recap.md,recaps/2024/04-april/vancouver-ai-meetup-16-recap.md,46b89b2a7d4ef3d0adb30700c6db3013d7beee5f283e2f1cd3aa382fe0ca419a
recap,2024,06-june,18,Vancouver AI Community Meetup #18 - Recap,vancouver-ai-meetup-18-recap,2024/06-june/vancouver-ai-meetup-18-recap.md,recaps/2024/06-june/vancouver-ai-meetup-18-recap.md,eec4dda9010d9b6b65eef442db6252c705d6c6b479fa2055cd2348c83f5f54fa
recap,2024,08-august,,METACREATION Lab AI Music Residency Showcase - Recap,metacreation-lab-ai-music-residency-showcase-recap,2024/08-august/metacreation-lab-ai-music-residency-showcase-recap.md,recaps/2024/08-august/metacreation-lab-ai-music-residency-showcase-recap.md,afdfc330d16e806fa8a1ad915688f5e6d5cd59895783f10d7de86422b14b746e
recap,2024,09-september,21,Vancouver AI Community Meetup #21 - September 2024 Recap,vancouver-ai-meetup-21-recap,2024/09-september/vancouver-ai-meetup-21-recap.md,recaps/2024/09-september/vancouver-ai-meetup-21-recap.md,8655a365f4ee724c55c9e2285f06f384953206bfbccd6bbabaaeb5c5ce31ef8a
recap,2024,10-october,,"Vancouver AI Community Special Event - ""The Thinking Game"" Film Screening Recap",vancouver-ai-thinking-game-screening-recap,2024/10-october/vancouver-ai-thinking-game-screening-recap.md,recaps/2024/10-october/vancouver-ai-thinking-game-screening-recap.md,fbefaa5ade18afd9db4797c57d9a87b06f394dd585e28b9c9007eb5aefe6efa4
recap,2024,12-december,24,Indigenous AI & Data Sovereignty - Peter Lucas Jones Keynote Recap,peter-lucas-jones-indigenous-ai-keynote-recap,2024/12-december/peter-lucas-jones-indigenous-ai-keynote-recap.md,recaps/2024/12-december/peter-lucas-jones-indigenous-ai-keynote-recap.md,acfa46e7d9471def2eebbec0f1a38c1249ca3b42a4ae8fa073d517ead94f2ca8
recap,2024,12-december,24,Vancouver AI Community Meetup #24 - December 2024 Recap,vancouver-ai-meetup-24-recap,2024/12-december/vancouver-ai-meetup-24-recap.md,recaps/2024/12-december/vancouver-ai-meetup-24-recap.md,658ec70c18acbedf2a73bb99d2cc9be6cf47524db16344ff2cf7c5c132cc9c67
recap,2025,01-january,13,Vancouver AI Community Meetup #13 - Recap,vancouver-ai-meetup-13-recap,2025/01-january/vancouver-ai-meetup-13-recap.md,recaps/2025/01-january/vancouver-ai-meetup-13-recap.md,6bc621ed2b3f1412b7873d61d1479c6f057ba4b21c11b92680199df1ca845f86
recap,2025,05-may,17,Vancouver AI Community Meetup #17 - Recap,vancouver-ai-meetup-17-recap,2025/05-may/vancouver-ai-meetup-17-recap.md,recaps/2025/05-may/vancouver-ai-meetup-17-recap.md,3bcdefc1c37ea864883653754725a4893dd1574bdac3efe6e52fa4384026c8a4
recap,2025,07-july,19,Vancouver AI Community Meetup #19 - Recap,vancouver-ai-meetup-19-recap,2025/07-july/vancouver-ai-meetup-19-recap.md,recaps/2025/07-july/vancouver-ai-meetup-19-recap.md,38383c42cf8cbf121f18a865faf4098212c69f5510fc8c0b4909023074f746b5
recap,2025,08-august,20,Vancouver AI Community Meetup #20 - Recap,vancouver-ai-meetup-20-recap,2025/08-august/vancouver-ai-meetup-20-recap.md,recaps/2025/08-august/vancouver-ai-meetup-20-recap.md,3e95f890815b9a92f112a6808a4cb65f838d76eeda4d770896e492e7cf5847b6
recap,2025,09-september,21,Vancouver AI Community Meetup #21 - Recap,vancouver-ai-meetup-21-recap,2025/09-september/vancouver-ai-meetup-21-recap.md,recaps/2025/09-september/vancouver-ai-meetup-21-recap.md,b97b1bbb857458789dfcc3ed07fc48042c562eeb3cc371e25b4ed6da9316ab63
recap,2025,10-october,22,Vancouver AI Community Meetup #22 - Recap,vancouver-ai-meetup-22-recap,2025/10-october/vancouver-ai-meetup-22-recap.md,recaps/2025/10-october/vancouver-ai-meetup-22-recap.md,22d783ebd10998e976304d82576440408ca6dd6140b861693ac54ded7f485769
recap,2025,11-november,23,Vancouver AI Community Meetup #23 - Comprehensive Recap,vancouver-ai-meetup-23-recap,2025/11-november/vancouver-ai-meetup-23-recap.md,recaps/2025/11-november/vancouver-ai-meetup-23-recap.md,e40eb5f900f571faf3f209383ba4c6559d1c25e31417bdc093e56092054a9b10
recap,2026,01-january,25,"Vancouver AI Meetup #25 — January 28, 2026 Recap",vancouver-ai-meetup-25-recap,2026/01-january/vancouver-ai-meetup-25-recap.md,recaps/2026/01-january/vancouver-ai-meetup-25-recap.md,2399ae31151e7ea0b282c80cc1de734f8acae06030a3b90507a2c6e6f03678db
transcript,2024,02-february,14,Vancouver AI Community Meetup #14 - Verbatim Transcript,vancouver-ai-meetup-14-transcript,2024/02-february/vancouver-ai-meetup-14-transcript.md,transcripts/2024/02-february/vancouver-ai-meetup-14-transcript.md,431c808a0833d7e8ef783af8930531c1fb5d92367248e3d90b027ed40f28c18a
transcript,2024,03-march,15,Vancouver AI Community Meetup #15 - Verbatim Transcript,vancouver-ai-meetup-15-transcript,2024/03-march/vancouver-ai-meetup-15-transcript.md,transcripts/2024/03-march/vancouver-ai-meetup-15-transcript.md,19c8879d28bf5305549c1c1ee7708f00f842763429cd1ad5b27193eaee92b468
transcript,2024,04-april,16,Vancouver AI Community Meetup #16 - Verbatim Transcript,vancouver-ai-meetup-16-transcript,2024/04-april/vancouver-ai-meetup-16-transcript.md,transcripts/2024/04-april/vancouver-ai-meetup-16-transcript.md,281079ef63aa34088897a1085ac28dd4dc01af7dac8f7dc68c83aee2481f31cb
transcript,2024,06-june,18,Vancouver AI Community Meetup #18 - Transcript,vancouver-ai-meetup-18-transcript,2024/06-june/vancouver-ai-meetup-18-transcript.md,transcripts/2024/06-june/vancouver-ai-meetup-18-transcript.md,037d5ec95782b90dcbe196e49d1278c6d3724f3f73993835dc23fcd1351d5822
transcript,2024,08-august,,METACREATION Lab AI Music Residency Showcase,metacreation-lab-ai-music-residency-showcase-transcript,2024/08-august/metacreation-lab-ai-music-residency-showcase-transcript.md,transcripts/2024/08-august/metacreation-lab-ai-music-residency-showcase-transcript.md,4a25d03ee5d46817cd6c3edf84e84866af9813d35254bcdcfe11f45ec979f856
transcript,2024,08-august,,Vancouver AI Meetup - August 2024 - Hackathon Winners Presentation,vancouver-ai-meetup-hackathon-winners-transcript,2024/08-august/vancouver-ai-meetup-hackathon-winners-transcript.md,transcripts/2024/08-august/vancouver-ai-meetup-hackathon-winners-transcript.md,5c7b4f959a2ae852296b56054c35a00d5921a7e58da037b4ee35149902d04b9c
transcript,2024,09-september,21,Vancouver AI Community Meetup #9 - September 2024 Transcript,vancouver-ai-meetup-21-transcript,2024/09-september/vancouver-ai-meetup-21-transcript.md,transcripts/2024/09-september/vancouver-ai-meetup-21-transcript.md,2c8d22bb9a677165aa079a3ecb3e9533e38dc4988086ca65725aaf77d98d60d1
transcript,2024,10-october,,"Vancouver AI Community Special Event - ""The Thinking Game"" Film Screening & Panel",vancouver-ai-thinking-game-screening-transcript,2024/10-october/vancouver-ai-thinking-game-screening-transcript.md,transcripts/2024/10-october/vancouver-ai-thinking-game-screening-transcript.md,e1ad958500bd79f7fa7e0a49a17eb86ca295e84220cf902f229ce48f00ee7bb3
transcript,2024,12-december,24,Peter Lucas Jones - Indigenous AI & Language Sovereignty Keynote,peter-lucas-jones-indigenous-ai-keynote-transcript,2024/12-december/peter-lucas-jones-indigenous-ai-keynote-transcript.md,transcripts/2024/12-december/peter-lucas-jones-indigenous-ai-keynote-transcript.md,d3bd2804d6d886a43bce357eb92a724a0a689c4cfc6190c0c392b635a9d39933
